site,group,cell,n_networks,retention_mean,retention_median,retention_min,retention_max,conv_ratio_mean
RL hip,M=1,baseline,5,0.999337,0.990853,0.982768,1.04426,0.985772
RL hip,M=1,freeze_only,5,0.000778369,1.90408e-05,-0.000155042,0.00356544,
RL hip,M=1,lock_only,5,0.237607,0.166327,0.000723333,0.708868,0.755938
RL hip,M=1,both,5,-0.000133124,-0.000149969,-0.000462318,0.000201847,
RL hip,M=10,baseline,5,1.00347,1.00064,0.988411,1.0272,1.09701
RL hip,M=10,freeze_only,5,0.00373188,0.000412676,-0.000374426,0.0182846,
RL hip,M=10,lock_only,5,0.630805,0.601639,0.44972,0.814355,0.967405
RL hip,M=10,both,5,0.0648495,0.0331661,-0.000858414,0.252737,
RL hip,M=20,baseline,5,0.992024,0.991025,0.982418,1.00806,1.0179
RL hip,M=20,freeze_only,5,0.00691792,0.000251733,-0.000125082,0.0336599,
RL hip,M=20,lock_only,5,0.408776,0.447209,0.000874618,0.769876,0.857862
RL hip,M=20,both,5,0.0215567,-6.12087e-05,-0.000650106,0.10856,
RL hip,M=160,baseline,5,0.998854,0.998524,0.994415,1.00308,1.00368
RL hip,M=160,freeze_only,5,0.965337,0.988289,0.866007,0.99669,
RL hip,M=160,lock_only,5,0.411725,0.542914,-0.000207421,0.712426,0.764971
RL hip,M=160,both,5,0.243841,0.0355221,-0.000121532,0.603303,
FR hip,M=1,baseline,5,0.997492,0.988849,0.981352,1.04059,0.998612
FR hip,M=1,freeze_only,5,0.00048719,0.000139521,-0.000100201,0.00201917,
FR hip,M=1,lock_only,5,0.443643,0.587611,-0.0013167,0.926562,0.866104
FR hip,M=1,both,5,4.96993e-05,8.52381e-05,-0.000620982,0.000488622,
FR hip,M=10,baseline,5,1.00386,0.999794,0.991036,1.02861,1.08819
FR hip,M=10,freeze_only,5,0.0162206,0.000643971,-0.000210662,0.0784871,
FR hip,M=10,lock_only,5,0.26693,0.220356,0.0274588,0.649235,0.973595
FR hip,M=10,both,5,0.0224448,0.0191139,-0.000181436,0.0479685,
FR hip,M=20,baseline,5,0.993947,0.990965,0.985355,1.01118,1.01149
FR hip,M=20,freeze_only,5,0.00298127,0.000396452,-0.000386589,0.014345,
FR hip,M=20,lock_only,5,0.579023,0.624363,4.44053e-06,0.91808,0.858154
FR hip,M=20,both,5,0.00243849,4.00651e-05,-0.00133079,0.0136893,
FR hip,M=160,baseline,5,1.00132,1.00112,0.99679,1.00597,1.00743
FR hip,M=160,freeze_only,5,0.927758,0.988692,0.675023,0.995588,
FR hip,M=160,lock_only,5,0.612028,0.935014,0.00309785,0.986684,0.877906
FR hip,M=160,both,5,0.570687,0.915205,-0.00271917,0.97981,
RR calf,M=1,baseline,5,0.994783,0.985285,0.981647,1.03293,1.01695
RR calf,M=1,freeze_only,5,0.00061717,0.000497051,-1.78129e-05,0.00147682,
RR calf,M=1,lock_only,5,0.0261087,0.000624362,-0.00253243,0.130274,0.782789
RR calf,M=1,both,5,0.000126573,2.68969e-05,-0.000170052,0.000515304,
RR calf,M=10,baseline,5,1.00294,0.99683,0.992655,1.0297,1.08601
RR calf,M=10,freeze_only,5,0.00955512,0.0103587,-0.000530423,0.0238233,
RR calf,M=10,lock_only,5,0.028922,-0.000147264,-0.000795698,0.145414,0.946061
RR calf,M=10,both,5,-0.000340186,-0.000263245,-0.000841904,-4.97345e-05,
RR calf,M=20,baseline,5,0.993057,0.992106,0.980816,1.01053,1.02016
RR calf,M=20,freeze_only,5,0.00621351,0.000309136,-0.000213074,0.0304571,
RR calf,M=20,lock_only,5,0.055388,0.00604451,-8.37984e-05,0.213308,0.726807
RR calf,M=20,both,5,-0.000390463,-0.000228184,-0.00120845,1.83837e-05,
RR calf,M=160,baseline,5,0.99913,1.00204,0.990701,1.00428,1.00091
RR calf,M=160,freeze_only,5,0.955299,0.986014,0.815683,0.996761,
RR calf,M=160,lock_only,5,-0.000651916,-0.000699428,-0.00330714,0.00258142,0.672229
RR calf,M=160,both,5,-0.00599825,-0.000136883,-0.0277054,0.000180964,
FL calf,M=1,baseline,5,0.996198,0.984312,0.982696,1.03762,0.990771
FL calf,M=1,freeze_only,5,0.000239186,1.4746e-05,-4.02398e-05,0.000658345,
FL calf,M=1,lock_only,5,0.329205,0.175122,-0.000696572,0.958,0.833822
FL calf,M=1,both,5,-0.000201037,-5.52262e-06,-0.00130057,0.000350821,
FL calf,M=10,baseline,5,1.00358,1.00307,0.989475,1.02407,1.0786
FL calf,M=10,freeze_only,5,0.0142141,-6.54012e-05,-0.00026395,0.0706454,
FL calf,M=10,lock_only,5,0.17165,-2.71593e-06,-0.00079667,0.858823,0.963297
FL calf,M=10,both,5,-0.000772814,-0.00104554,-0.00183105,7.38246e-05,
FL calf,M=20,baseline,5,0.990684,0.992293,0.97257,1.00733,1.0104
FL calf,M=20,freeze_only,5,0.00345257,-4.64167e-05,-0.000483968,0.0178812,
FL calf,M=20,lock_only,5,0.0778537,0.000131043,-0.00107594,0.38748,0.747711
FL calf,M=20,both,5,0.00430685,-5.50566e-05,-0.00159902,0.0236364,
FL calf,M=160,baseline,5,0.999747,0.999034,0.99619,1.00315,1.00926
FL calf,M=160,freeze_only,5,0.929972,0.985568,0.703364,0.994415,
FL calf,M=160,lock_only,5,0.182606,0.000284862,-0.000340862,0.489914,0.760997
FL calf,M=160,both,5,0.192466,0.000815369,-0.000189966,0.530497,
