site,group,network,M,R_baseline,R_freeze_only,R_lock_only,R_both,cost_plastic,cost_frozen,interaction
RL hip,M=1,860896728,1,0.992234,-1.78129e-05,0.166327,-0.000462318,-0.825908,-0.000444505,-0.825463
RL hip,M=1,1396289849,1,1.04426,0.000480222,0.309936,-0.000217037,-0.734325,-0.000697258,-0.733628
RL hip,M=1,1295751242,1,0.982768,1.90408e-05,0.708868,-3.81437e-05,-0.2739,-5.71845e-05,-0.273843
RL hip,M=1,489225843,1,0.986566,-0.000155042,0.00218143,-0.000149969,-0.984385,5.07342e-06,-0.98439
RL hip,M=1,2113178504,1,0.990853,0.00356544,0.000723333,0.000201847,-0.99013,-0.00336359,-0.986767
RL hip,M=10,617764346,10,0.995077,-0.000374426,0.44972,-0.000263508,-0.545357,0.000110919,-0.545468
RL hip,M=10,1146876823,10,1.0272,0.0182846,0.814355,0.252737,-0.212849,0.234452,-0.447301
RL hip,M=10,1331919846,10,0.988411,0.000439261,0.601639,0.0394665,-0.386772,0.0390273,-0.4258
RL hip,M=10,27294405,10,1.00064,0.000412676,0.491122,0.0331661,-0.509516,0.0327534,-0.54227
RL hip,M=10,689362957,10,1.006,-0.0001027,0.797189,-0.000858414,-0.208814,-0.000755713,-0.208058
RL hip,M=20,1853697842,20,0.995479,-0.000125082,0.769876,-6.12087e-05,-0.225604,6.38735e-05,-0.225668
RL hip,M=20,685059270,20,0.983131,0.000614008,0.000874618,-6.12894e-05,-0.982256,-0.000675297,-0.981581
RL hip,M=20,1919632181,20,1.00806,0.0336599,0.447209,0.10856,-0.560856,0.0748997,-0.635755
RL hip,M=20,641049713,20,0.982418,0.000189078,0.146967,-0.000650106,-0.835451,-0.000839183,-0.834612
RL hip,M=20,1298619277,20,0.991025,0.000251733,0.678956,-3.44459e-06,-0.312069,-0.000255177,-0.311814
RL hip,M=160,576310242,160,0.995464,0.988289,-0.000207421,-0.000121532,-0.995672,-0.988411,-0.00726062
RL hip,M=160,756800567,160,1.00279,0.866007,0.210975,0.000927705,-0.791813,-0.86508,0.0732669
RL hip,M=160,1042351053,160,0.998524,0.98315,0.592516,0.603303,-0.406007,-0.379847,-0.0261609
RL hip,M=160,2126766829,160,0.994415,0.992551,0.542914,0.579572,-0.451501,-0.412979,-0.0385222
RL hip,M=160,602647351,160,1.00308,0.99669,0.712426,0.0355221,-0.290653,-0.961168,0.670516
FR hip,M=1,860896728,1,0.992234,-1.78129e-05,0.926562,-5.62985e-05,-0.0656724,-3.84856e-05,-0.0656339
FR hip,M=1,1396289849,1,1.04059,0.000395274,0.000245637,8.52381e-05,-1.04034,-0.000310036,-1.04003
FR hip,M=1,1295751242,1,0.984436,0.000139521,0.705114,-0.000620982,-0.279322,-0.000760504,-0.278561
FR hip,M=1,489225843,1,0.981352,-0.000100201,0.587611,0.000488622,-0.39374,0.000588823,-0.394329
FR hip,M=1,2113178504,1,0.988849,0.00201917,-0.0013167,0.000351917,-0.990166,-0.00166725,-0.988499
