site,group,network,cell,M,T_gait_steps,retention,retention_flagged,conv_ratio,fraction_converged,v_pre,v_post,dW_early,dW_late,mean_reward,final_upright,fallen_fraction,retention_phase_range
RL hip,M=1,860896728,baseline,1,37.5,0.992234,0,1.00644,0.15,0.802819,0.796978,3.79064,3.8135,0.0194734,0.993754,0,0.0184458
RL hip,M=1,860896728,freeze_only,1,37.5,-1.78129e-05,0,,0,0.803463,-1.43075e-05,0,0,0.0120822,-0.999871,0.75,0.101898
RL hip,M=1,860896728,lock_only,1,37.5,0.166327,0,0.803777,0.6,0.802494,0.132497,3.82325,3.09556,0.0135876,-0.21395,0.6,0.332598
RL hip,M=1,860896728,both,1,37.5,-0.000462318,0,,0,0.803074,-0.000368495,0,0,0.012297,-0.999532,0.75,0.00311299
RL hip,M=1,1396289849,baseline,1,56.25,1.04426,0,0.958503,0.45,0.618927,0.642643,2.49816,2.38252,0.0163293,0.98483,0,0.0968094
RL hip,M=1,1396289849,freeze_only,1,56.25,0.000480222,0,,0,0.619442,0.000289493,0,0,0.0106105,-0.99998,0.95,0.00171115
RL hip,M=1,1396289849,lock_only,1,56.25,0.309936,0,0.981485,0.45,0.605257,0.187137,2.36175,2.37456,0.0122432,0.96928,0.3,0.319616
RL hip,M=1,1396289849,both,1,56.25,-0.000217037,0,,0,0.621149,-0.000134667,0,0,0.0105353,-0.603183,0.8,0.00306363
RL hip,M=1,1295751242,baseline,1,42.857,0.982768,0,0.985267,0.25,0.706258,0.695204,3.22585,3.16984,0.0177924,0.986968,0,0.039216
RL hip,M=1,1295751242,freeze_only,1,42.857,1.90408e-05,0,,0,0.703183,1.30987e-05,0,0,0.0111806,-0.99888,0.8,0.0175469
RL hip,M=1,1295751242,lock_only,1,42.857,0.708868,0,1.05389,0.1,0.704848,0.499101,2.83958,2.99791,0.0150305,0.969145,0,0.0397058
RL hip,M=1,1295751242,both,1,42.857,-3.81437e-05,0,,0,0.706632,-2.6993e-05,0,0,0.0113843,-0.325942,0.7,0.0562295
RL hip,M=1,489225843,baseline,1,52.941,0.986566,0,0.987634,0.35,0.65274,0.637991,2.82504,2.7951,0.0166691,0.981234,0,0.0622816
RL hip,M=1,489225843,freeze_only,1,52.941,-0.000155042,0,,0,0.642575,-9.91984e-05,0,0,0.0106979,-0.999426,0.75,0.00976133
RL hip,M=1,489225843,lock_only,1,52.941,0.00218143,0,0.71158,0.9,0.650502,0.00143448,2.72346,2.02516,0.0107099,-0.999917,0.95,0.000776658
RL hip,M=1,489225843,both,1,52.941,-0.000149969,0,,0,0.651354,-0.000100396,0,0,0.0106542,-0.998979,0.9,0.00242374
RL hip,M=1,2113178504,baseline,1,33.333,0.990853,0,0.991018,0.25,0.610105,0.604051,3.75722,3.74621,0.0168502,0.981904,0,0.0496251
RL hip,M=1,2113178504,freeze_only,1,33.333,0.00356544,0,,0,0.608986,0.00218114,0,0,0.0119067,0.992366,0.1,0.133603
RL hip,M=1,2113178504,lock_only,1,33.333,0.000723333,0,0.228954,1,0.608932,0.000440589,3.44067,0.771281,0.011929,0.995961,0,0.0031858
RL hip,M=1,2113178504,both,1,33.333,0.000201847,0,,0,0.612043,0.000121494,0,0,0.0116515,0.986642,0,0.0650356
RL hip,M=10,617764346,baseline,10,44.999,0.995077,0,1.01447,0,0.761091,0.757491,1.44699,1.47011,0.0193623,0.983742,0,0.0318847
RL hip,M=10,617764346,freeze_only,10,44.999,-0.000374426,0,,0,0.761594,-0.000283572,0,0,0.0119245,-0.586563,0.8,0.270436
RL hip,M=10,617764346,lock_only,10,44.999,0.44972,0,0.813392,0.8,0.764248,0.345426,1.44144,1.1719,0.0146878,0.954175,0.15,0.470745
RL hip,M=10,617764346,both,10,44.999,-0.000263508,0,,0,0.763645,-0.000200111,0,0,0.0117751,-1,0.85,0.00250962
RL hip,M=10,1146876823,baseline,10,29.032,1.0272,0,1.26462,0.2,0.655768,0.676282,0.935415,1.18239,0.0172691,0.993615,0,0.0260519
RL hip,M=10,1146876823,freeze_only,10,29.032,0.0182846,0,,0,0.65828,0.000690763,0,0,0.0113649,-0.645991,0.6,0.36571
RL hip,M=10,1146876823,lock_only,10,29.032,0.814355,0,1.06872,0.25,0.659122,0.534448,1.14117,1.21854,0.0161646,0.976596,0,0.03499
RL hip,M=10,1146876823,both,10,29.032,0.252737,0,,0,0.651533,0.163618,0,0,0.0124281,0.910434,0.3,0.434014
RL hip,M=10,1331919846,baseline,10,30,0.988411,0,1.2855,0.05,0.620427,0.613972,0.894661,1.15119,0.017012,0.964726,0,0.02674
RL hip,M=10,1331919846,freeze_only,10,30,0.000439261,0,,0,0.619053,0.000270308,0,0,0.0116966,0.961426,0.25,0.278648
RL hip,M=10,1331919846,lock_only,10,30,0.601639,0,1.15698,0.1,0.623418,0.373277,0.978052,1.13131,0.0141823,0.971053,0.05,0.0321509
